,,,Wall time,Step,Value
1588993690.0393,5386,397.158538818359,,,
1588995026.81458,5426,410.075042724609,,,
1588995762.22023,5448,396.930847167969,,,
1588995929.23104,5453,406.656433105469,,,
1588997510.37063,5501,403.706420898438,,,
1588998178.38478,5521,390.4228515625,,,
1588998245.20707,5523,409.155059814453,,,
1588999298.79711,5555,11.3329982757568,,,
1589000074.16052,5579,411.017639160156,,,
1589000460.97054,5591,403.683837890625,,,
1589000528.00739,5593,396.011108398437,,,
1589000729.44893,5599,418.190612792969,,,
1589001966.78582,5636,385.750640869141,,,
1589002875.45045,5664,401.642944335937,,,
1589002942.57255,5666,402.775939941406,,,
1589003044.41096,5670,420.423370361328,,,
1589003517.73989,5685,402.731811523438,,,
1589004836.61082,5726,426.19384765625,,,
1589004937.55459,5729,425.036041259766,,,
1589006653.32331,5782,423.759490966797,,,
1589006754.1089,5785,391.480255126953,,,
1589007090.1274,5795,398.766662597656,,,
1589007694.92492,5813,431.911804199219,,,
1589007728.55289,5814,414.560119628906,,,
1589008252.91277,5831,433.699645996094,,,
1589008353.87512,5834,395.567565917969,,,
1589009495.71182,5868,426.689514160156,,,
1589009562.90659,5870,420.242156982422,,,
1589009798.15227,5877,398.327972412109,,,
1589011008.3774,5913,404.712005615234,,,
1589011718.66802,5934,413.975524902344,,,
1589012508.75246,5958,445.521118164062,,,
1589012676.84448,5963,429.716918945313,,,
1589012878.25764,5969,438.492736816406,,,
1589013761.40317,5996,442.594635009766,,,
1589014422.25284,6016,430.510437011719,,,
1589014590.43547,6021,437.463836669922,,,
1589015094.43773,6036,434.766906738281,,,
1589015262.46985,6041,437.394653320313,,,
1589016674.72571,6084,407.212280273438,,,
1589017490.68892,6109,429.984771728516,,,
1589017557.9187,6111,436.287414550781,,,
1589018087.70926,6127,442.59716796875,,,
1589018154.93752,6129,425.261383056641,,,
1589018356.4802,6135,430.12451171875,,,
1589018423.71458,6137,415.769073486328,,,
1589019004.46383,6155,449.48486328125,,,
1589020079.6274,6187,427.836975097656,,,
1589020717.97464,6206,438.493560791016,,,
1589021087.72467,6217,400.358612060547,,,
1589021154.93491,6219,433.508758544922,,,
1589021356.33808,6225,433.697509765625,,,
1589021739.87599,6238,434.117156982422,,,
1589022344.3929,6256,429.214385986328,,,
1589023655.05144,6295,408.727508544922,,,
1589024427.82124,6318,433.318420410156,,,
1589024595.82394,6323,440.019897460938,,,
1589025402.12057,6347,448.013366699219,,,
1589025771.74957,6358,433.426635742188,,,
1589026141.39154,6369,420.392639160156,,,
1589026376.60104,6376,434.149108886719,,,
1589026578.33057,6382,418.454132080078,,,
1589027384.60345,6406,426.973419189453,,,
1589029313.60905,6465,438.339385986328,,,
1589030430.07996,6501,443.027679443359,,,
1589030463.70226,6502,426.593994140625,,,
1589030597.80564,6506,432.199829101563,,,
1589031243.80579,6526,431.626373291016,,,
1589031277.44336,6527,437.418579101563,,,
1589031311.07295,6528,423.872314453125,,,
1589031579.97887,6536,437.272705078125,,,
1589033064.92692,6580,442.849639892578,,,
1589033290.14456,6587,446.283843994141,,,
1589033391.09391,6590,435.559051513672,,,
1589033998.89038,6609,427.932556152344,,,
1589035813.15667,6663,459.792633056641,,,
1589036115.57304,6672,445.980529785156,,,
1589036182.754,6674,444.795593261719,,,
1589036317.29833,6678,456.858154296875,,,
1589036518.89482,6684,439.348114013672,,,
1589036619.80763,6687,461.49365234375,,,
1589036839.40731,6694,437.390594482422,,,
1589037108.36648,6702,476.009460449219,,,
1589037209.16733,6705,439.602508544922,,,
1589037612.19284,6717,490.423309326172,,,
1589038515.25838,6744,447.658081054688,,,
1589038642.68331,6748,353.019012451172,,,
1589039012.13941,6759,464.815307617188,,,
1589039381.7786,6770,455.371246337891,,,
1589041582.7424,6838,434.014038085938,,,
1589042012.08637,6852,90.1795272827149,,,
1589042280.98377,6860,452.726135253906,,,
1589042704.55588,6874,286.757202148437,,,
1589042738.15036,6875,474.446044921875,,,
1589043577.13694,6901,472.341064453125,,,
1589044019.06105,6915,447.48046875,,,
1589044823.55199,6940,408.886688232422,,,
1589045718.44742,6969,457.842956542969,,,
1589045819.37245,6972,446.502532958984,,,
1589046693.42332,6998,475.242645263672,,,
1589047270.73825,7016,469.562316894531,,,
1589047405.15597,7020,436.366729736328,,,
1589048222.04456,7045,448.155120849609,,,
1589049944.83552,7097,460.854461669922,,,
1589050449.16057,7112,446.120819091797,,,
1589050718.05836,7120,462.332824707031,,,
1589050751.69664,7121,472.817016601563,,,
1589051485.40208,7143,473.306182861328,,,
1589052043.3529,7161,464.048065185547,,,
1589053333.86572,7201,467.624664306641,,,
1589054039.57477,7222,455.378387451172,,,
1589055081.56413,7253,449.013854980469,,,
1589056826.69932,7306,472.528167724609,,,
1589057196.21448,7317,473.420593261719,,,
1589057784.92996,7335,474.346099853516,,,
1589058120.98231,7345,449.638122558594,,,
1589058154.54868,7346,448.397186279297,,,
1589058734.97817,7365,476.304656982422,,,
1589059480.398,7388,469.766937255859,,,
1589060122.29018,7407,481.220153808594,,,
1589061089.92163,7437,506.174407958984,,,
1589061363.68643,7446,490.616638183594,,,
1589061464.03412,7449,474.978424072266,,,
1589061698.54757,7456,479.590179443359,,,
1589062033.3915,7466,475.480987548828,,,
1589062134.02543,7469,484.551788330078,,,
1589062301.64098,7474,484.632019042969,,,
1589062606.0119,7484,13.0299406051636,,,
1589063616.6837,7517,476.833435058594,,,
1589064253.33635,7536,471.035430908203,,,
1589064822.81818,7553,483.763763427734,,,
1589066863.34928,7615,471.213897705078,,,
1589068036.80064,7650,472.145751953125,,,
1589068603.3447,7667,479.505889892578,,,
1589068907.56879,7677,477.900085449219,,,
1589069075.09147,7682,506.669006347656,,,
1589069402.85588,7693,479.197448730469,,,
1589069603.7152,7699,473.512420654297,,,
1589069838.16706,7706,491.651000976563,,,
1589070439.28431,7724,470.19384765625,,,
1589070596.62251,7729,481.981170654297,,,
1589070764.16288,7734,490.058074951172,,,
1589071367.60985,7752,481.199279785156,,,
1589071735.85539,7763,473.260040283203,,,
1589071836.41236,7766,477.328826904297,,,
1589072506.93156,7786,491.263916015625,,,
1589072775.14204,7794,478.049530029297,,,
1589073110.37707,7804,473.929412841797,,,
1589074230.82522,7839,474.546691894531,,,
1589074398.33661,7844,480.430114746094,,,
1589076431.75128,7905,481.202239990234,,,
1589076465.22263,7906,499.266723632813,,,
1589077512.91767,7938,481.541931152344,,,
1589078923.69707,7981,487.403411865234,,,
1589079191.71024,7989,479.564117431641,,,
1589079460.05379,7997,471.068908691406,,,
1589079493.55364,7998,480.847198486328,,,
1589080632.71304,8032,471.322540283203,,,
1589080980.24854,8043,482.884704589844,,,
1589081382.67054,8055,485.491729736328,,,
1589081927.59723,8072,448.840301513672,,,
1589083923.90168,8132,466.161651611328,,,
1589084716.73211,8156,480.566162109375,,,
1589085722.50944,8186,499.005950927734,,,
1589085856.53574,8190,468.917022705078,,,
1589086325.57753,8204,468.031036376953,,,
1589086880.55639,8221,485.200225830078,,,
1589087081.54316,8227,484.924224853516,,,
1589088444.97586,8269,472.053497314453,,,
1589088980.89401,8285,472.529998779297,,,
1589089356.22272,8296,498.233764648438,,,
1589089657.16473,8305,479.792572021484,,,
1589089924.55295,8313,470.215484619141,,,
